Rank,Release Group,Worldwide,Domestic,%,Foreign,%
89,Silent Parade,"$21,723,595",-,-,"$21,723,595",100%
90,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%
91,Emergency Declaration,"$20,831,764","$412,196",2%,"$20,419,568",98%
92,Devotion,"$20,525,405","$19,709,075",96%,"$816,330",4%
93,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
94,The Banshees of Inisherin,"$19,760,461","$9,004,962",45.6%,"$10,755,499",54.4%
95,Roald Dahl's Matilda the Musical,"$19,700,000",-,-,"$19,700,000",100%
96,After Ever Happy,"$19,155,062","$1,072,750",5.6%,"$18,082,312",94.4%
97,Beast,"$18,911,959",-,-,"$18,911,959",100%
98,Three Thousand Years of Longing,"$18,881,663","$8,286,741",43.9%,"$10,594,922",56.1%
99,Godfather,"$18,737,287",-,-,"$18,737,287",100%
100,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
101,Die Schule der magischen Tiere 2,"$18,248,643",-,-,"$18,248,643",100%
102,November,"$18,027,977",-,-,"$18,027,977",100%
103,Simone: Woman of the Century,"$17,599,920",-,-,"$17,599,920",100%
104,Triangle of Sadness,"$17,403,826","$4,105,977",23.6%,"$13,297,849",76.4%
105,Fall,"$17,377,065","$7,240,521",41.7%,"$10,136,544",58.3%
106,The Quintessential Quintuplets Movie,"$17,288,993","$502,000",2.9%,"$16,786,993",97.1%
107,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
108,Father There Is Only One 3,"$16,568,747",-,-,"$16,568,747",100%
109,Broker,"$16,219,444","$25,271",0.2%,"$16,194,173",99.8%
110,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
111,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%
112,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%
113,Maison de retraite,"$15,567,804",-,-,"$15,567,804",100%
114,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
115,Firestarter,"$15,039,250","$9,739,250",64.8%,"$5,300,000",35.2%
116,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$14,895,696",-,-,"$14,895,696",100%
117,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%
118,X,"$14,779,858","$11,765,309",79.6%,"$3,014,549",20.4%
119,Bros,"$14,771,393","$11,628,165",78.7%,"$3,143,228",21.3%
120,Super-héros malgré lui,"$14,770,359",-,-,"$14,770,359",100%
121,Whitney Houston: I Wanna Dance with Somebody,"$14,685,000","$12,085,000",82.3%,"$2,600,000",17.7%
122,The Chosen Season 3: Episode 1 & 2,"$14,679,613","$14,612,089",99.5%,"$67,524",0.5%
123,The Duke,"$14,222,161","$1,526,970",10.7%,"$12,695,191",89.3%
124,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
125,Bones and All,"$14,134,907","$7,834,907",55.4%,"$6,300,000",44.6%
126,Bodies Bodies Bodies,"$13,905,140","$11,446,602",82.3%,"$2,458,538",17.7%
127,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
128,Land of Legends,"$13,459,101",-,-,"$13,459,101",100%
129,Glass Onion: A Knives Out Mystery,"$13,280,000","$13,280,000",100%,-,-
130,Valimai,"$13,276,393",-,-,"$13,276,393",100%
131,Easter Sunday,"$13,071,438","$13,013,690",99.6%,"$57,748",0.4%
132,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
133,Terrifier 2,"$12,300,861","$10,640,105",86.5%,"$1,660,756",13.5%
134,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
135,Moonage Daydream,"$12,211,921","$4,218,925",34.5%,"$7,992,996",65.5%
136,Even if This Love Disappears from the World Tonight,"$12,105,747",-,-,"$12,105,747",100%
137,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%
138,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
139,The Fabelmans,"$11,960,140","$11,395,220",95.3%,"$564,920",4.7%
140,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
141,She Said,"$11,450,929","$5,825,995",50.9%,"$5,624,934",49.1%
142,Bergen,"$11,325,405",-,-,"$11,325,405",100%
143,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
144,Warriors of Future,"$10,490,328",-,-,"$10,490,328",100%
145,Chickenhare and the Hamster of Darkness,"$10,396,668",-,-,"$10,396,668",100%
146,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
147,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
148,Rise,"$10,179,767",-,-,"$10,179,767",100%
149,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
150,Table for Six,"$10,138,355",-,-,"$10,138,355",100%
151,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%
152,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%
153,Spider-Man: No Way Home 2022 Re-release,"$9,613,518","$9,321,593",97%,"$291,925",3%
154,Rheingold,"$9,598,008",-,-,"$9,598,008",100%
155,Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
156,"Good Luck to You, Leo Grande","$9,495,095",-,-,"$9,495,095",100%
157,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
158,Pearl,"$9,423,445","$9,423,445",100%,-,-
159,Till,"$9,000,202","$9,000,202",100%,-,-
160,Sword Art Online: Progressive - Scherzo of Deep Night,"$8,695,854",-,-,"$8,695,854",100%
161,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$8,658,041",-,-,"$8,658,041",100%
162,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
163,Life Is Beautiful,"$8,458,639",-,-,"$8,458,639",100%
164,From Siberia with Love,"$8,387,592",-,-,"$8,387,592",100%
165,Babylon,"$8,344,502","$8,344,502",100%,-,-
166,Don,"$8,287,406",-,-,"$8,287,406",100%
167,Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%
168,Karada Sagashi,"$8,166,175",-,-,"$8,166,175",100%
169,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
170,Ducobu Président !,"$7,858,171",-,-,"$7,858,171",100%
171,Dr. Coto's Clinic,"$7,664,772",-,-,"$7,664,772",100%
172,Phases of the Moon,"$7,564,756",-,-,"$7,564,756",100%
173,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
174,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
175,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
176,How About Adolf?,"$7,330,755",-,-,"$7,330,755",100%
177,Laid-Back Camp: The Movie,"$7,317,913",-,-,"$7,317,913",100%
178,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
179,Listy do M. 5,"$7,175,333",-,-,"$7,175,333",100%
180,Decibel,"$7,128,491","$60,579",0.8%,"$7,067,912",99.2%
181,Mobile Suit Gundam: Cucuruz Doan's Island,"$7,006,640",-,-,"$7,006,640",100%
182,Menteur 2022 Re-release,"$6,899,633",-,-,"$6,899,633",100%
183,The New Toy,"$6,783,391",-,-,"$6,783,391",100%
184,Rabbit Academy,"$6,744,020",-,-,"$6,744,020",100%
185,Finnick,"$6,630,871",-,-,"$6,630,871",100%
186,National Theatre Live: Prima Facie,"$6,589,048",-,-,"$6,589,048",100%
187,Honest Candidate 2,"$6,433,696",-,-,"$6,433,696",100%
188,"Farewell, Mr. Haffmann","$6,417,032",-,-,"$6,417,032",100%
189,Cyrano,"$6,396,730","$3,873,124",60.5%,"$2,523,606",39.5%
190,Mascarade,"$6,341,790",-,-,"$6,341,790",100%
191,Marcel the Shell with Shoes On,"$6,334,075","$6,333,702",100%,$373,<0.1%
192,Hero,"$6,330,332",-,-,"$6,330,332",100%
193,Chempion mira,"$6,241,731",-,-,"$6,241,731",100%
194,Yolki 9,"$6,204,367",-,-,"$6,204,367",100%
195,The Exorcism of God,"$6,102,053",-,-,"$6,102,053",100%
196,God's Crooked Lines,"$6,060,070",-,-,"$6,060,070",100%
197,Notre-Dame on Fire,"$6,059,323",-,-,"$6,059,323",100%
198,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
199,Vikrant Rona,"$6,020,595",-,-,"$6,020,595",100%
200,Jeepers Creepers: Reborn,"$5,954,938","$2,033,057",34.1%,"$3,921,881",65.9%
