Rank,Release Group,Worldwide,Domestic,%,Foreign,%
73,Blacklight,"$15,900,499","$9,591,094",60.3%,"$6,309,405",39.7%
74,Three Thousand Years of Longing,"$15,630,356","$8,231,768",52.7%,"$7,398,588",47.3%
75,Operation Mincemeat,"$15,596,971",-,-,"$15,596,971",100%
76,Maison de retraite,"$15,564,937",-,-,"$15,564,937",100%
77,Padre no hay más que uno 3,"$15,268,509",-,-,"$15,268,509",100%
78,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
79,Broker,"$14,949,698",-,-,"$14,949,698",100%
80,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$14,895,696",-,-,"$14,895,696",100%
81,Firestarter,"$14,889,250","$9,589,250",64.4%,"$5,300,000",35.6%
82,Super-héros malgré lui,"$14,770,359",-,-,"$14,770,359",100%
83,X,"$14,476,595","$11,765,309",81.3%,"$2,711,286",18.7%
84,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
85,The Duke,"$14,156,268","$1,526,970",10.8%,"$12,629,298",89.2%
86,Tad the Lost Explorer and The Curse of the Mummy,"$14,068,638",-,-,"$14,068,638",100%
87,Fall,"$13,926,685","$7,068,618",50.8%,"$6,858,067",49.2%
88,Memory,"$13,651,912","$7,329,043",53.7%,"$6,322,869",46.3%
89,Valimai,"$13,276,393",-,-,"$13,276,393",100%
90,Bodies Bodies Bodies,"$13,145,583","$11,394,824",86.7%,"$1,750,759",13.3%
91,Easter Sunday,"$13,070,518","$13,013,690",99.6%,"$56,828",0.4%
92,Alienoid,"$12,681,640","$168,309",1.3%,"$12,513,331",98.7%
93,See How They Run,"$12,624,509","$6,313,931",50%,"$6,310,578",50%
94,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
95,Hunt,"$11,917,344",-,-,"$11,917,344",100%
96,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
97,Bergen,"$11,308,620",-,-,"$11,308,620",100%
98,Laal Singh Chaddha,"$11,253,122","$3,401,324",30.2%,"$7,851,798",69.8%
99,Men,"$11,133,814","$7,587,853",68.2%,"$3,545,961",31.8%
100,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
101,Mrs. Harris Goes to Paris,"$10,370,305","$10,370,305",100%,-,-
102,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
103,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
104,Rise,"$10,118,003",-,-,"$10,118,003",100%
105,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%
106,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%
107,Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
108,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
109,Chickenhare and the Hamster of Darkness,"$9,327,176",-,-,"$9,327,176",100%
110,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
111,Don,"$8,287,406",-,-,"$8,287,406",100%
112,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
113,Ducobu Président !,"$7,858,171",-,-,"$7,858,171",100%
