Rank,Release Group,Worldwide,Domestic,%,Foreign,%
181,Lost Illusions,"$8,634,153","$125,106",1.4%,"$8,509,047",98.6%
182,Agent Backkom: Kings Bear,"$8,578,734",-,-,"$8,578,734",100%
183,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
184,Dziewczyny z Dubaju,"$8,425,667",-,-,"$8,425,667",100%
185,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
186,Delicious,"$8,340,147",-,-,"$8,340,147",100%
187,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
188,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
189,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
190,Silver Skates,"$7,891,319",-,-,"$7,891,319",100%
191,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
192,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
193,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
194,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%
195,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
196,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%
197,Judas and the Black Messiah,"$7,428,769","$5,478,009",73.7%,"$1,950,760",26.3%
198,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
199,Signal: The Movie,"$7,388,603",-,-,"$7,388,603",100%
200,'83,"$7,351,061","$4,055,660",55.2%,"$3,295,401",44.8%
